num_instance,data_size,CPU2Device,Device,Device2CPU
1,64,91,801,115
1,64,91,801,116
1,64,92,801,117
1,64,93,801,117
1,64,93,801,117
1,64,93,801,117
1,64,93,801,117
1,64,93,801,118
1,64,88,801,117
1,64,93,801,117
2,64,83,409,87
2,64,83,409,88
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,83,409,89
2,64,84,409,89
2,64,83,409,89
2,64,83,409,90
2,64,83,409,90
2,64,83,409,90
4,64,82,205,88
4,64,82,205,88
4,64,82,205,88
4,64,83,205,89
4,64,83,205,88
4,64,82,205,89
4,64,82,205,89
4,64,83,204,88
4,64,83,204,89
4,64,84,205,88
4,64,83,205,88
4,64,83,204,88
4,64,83,205,88
4,64,83,205,88
4,64,83,204,88
